,gene_symbols
ENSG00000174059,CD34
ENSG00000134531,EMP1
ENSG00000182568,SATB1
ENSG00000180448,ARHGAP45
ENSG00000167995,BEST1
ENSG00000119772,DNMT3A
ENSG00000177042,TMEM80
ENSG00000196781,TLE1
ENSG00000085265,FCN1
ENSG00000198830,HMGN2
ENSG00000182752,PAPPA
ENSG00000204611,ZNF616
ENSG00000008300,CELSR3
ENSG00000170390,DCLK2
ENSG00000113758,DBN1
ENSG00000139722,VPS37B
ENSG00000088179,PTPN4
ENSG00000060138,YBX3
ENSG00000129317,PUS7L
ENSG00000254615,RP11-395G23.3
ENSG00000176887,SOX11
ENSG00000100445,SDR39U1
ENSG00000114993,RTKN
ENSG00000275023,MLLT6
ENSG00000059728,MXD1
ENSG00000090932,DLL3
ENSG00000009950,MLXIPL
ENSG00000185947,ZNF267
ENSG00000104970,KIR3DX1
ENSG00000234056,LINC00463
ENSG00000172824,CES4A
ENSG00000141622,RNF165
ENSG00000077943,ITGA8
ENSG00000088367,EPB41L1
ENSG00000228126,FALEC
ENSG00000168314,MOBP
ENSG00000143126,CELSR2
ENSG00000171368,TPPP
ENSG00000196517,SLC6A9
ENSG00000138593,SECISBP2L
ENSG00000186470,BTN3A2
ENSG00000157150,TIMP4
ENSG00000070269,TMEM260
ENSG00000047315,POLR2B
ENSG00000240583,AQP1
ENSG00000117036,ETV3
ENSG00000144749,LRIG1
ENSG00000131127,ZNF141
ENSG00000121858,TNFSF10
ENSG00000166900,STX3
ENSG00000166451,CENPN
ENSG00000198901,PRC1
ENSG00000076662,ICAM3
ENSG00000215788,TNFRSF25
ENSG00000130208,APOC1
ENSG00000101104,PABPC1L
ENSG00000182853,VMO1
ENSG00000137965,IFI44
ENSG00000165810,BTNL9
ENSG00000160570,DEDD2
ENSG00000185565,LSAMP
ENSG00000179403,VWA1
ENSG00000130749,ZC3H4
ENSG00000171408,PDE7B
ENSG00000135074,ADAM19
ENSG00000137968,SLC44A5
ENSG00000007944,MYLIP
ENSG00000133302,SLF1
ENSG00000123146,ADGRE5
ENSG00000137563,GGH
ENSG00000116962,NID1
ENSG00000176102,CSTF3
ENSG00000079215,SLC1A3
ENSG00000160285,LSS
ENSG00000106617,PRKAG2
ENSG00000197892,KIF13B
ENSG00000183077,AFMID
ENSG00000282988,RP1-34B20.21
ENSG00000091136,LAMB1
ENSG00000116701,NCF2
ENSG00000115461,IGFBP5
ENSG00000165323,FAT3
ENSG00000099250,NRP1
ENSG00000004399,PLXND1
ENSG00000197520,FAM177B
ENSG00000119397,CNTRL
ENSG00000101082,SLA2
ENSG00000138336,TET1
ENSG00000256453,DND1
ENSG00000150907,FOXO1
ENSG00000176293,ZNF135
ENSG00000153551,CMTM7
ENSG00000186960,LINC01551
ENSG00000173846,PLK3
ENSG00000109956,B3GAT1
ENSG00000142156,COL6A1
ENSG00000204577,LILRB3
ENSG00000144597,EAF1
ENSG00000163331,DAPL1
ENSG00000137992,DBT
ENSG00000168876,ANKRD49
ENSG00000280927,CTBP1-AS
ENSG00000038219,BOD1L1
ENSG00000119042,SATB2
ENSG00000092964,DPYSL2
ENSG00000154265,ABCA5
ENSG00000282851,BISPR
ENSG00000168384,HLA-DPA1
ENSG00000138311,ZNF365
ENSG00000164106,SCRG1
ENSG00000048052,HDAC9
ENSG00000111859,NEDD9
ENSG00000186352,ANKRD37
ENSG00000124496,TRERF1
ENSG00000128228,SDF2L1
ENSG00000184905,TCEAL2
ENSG00000178381,ZFAND2A
ENSG00000263305,AP005530.2
ENSG00000136108,CKAP2
ENSG00000135976,ANKRD36
ENSG00000104833,TUBB4A
ENSG00000146592,CREB5
ENSG00000173821,RNF213
ENSG00000112096,SOD2
ENSG00000143248,RGS5
ENSG00000101596,SMCHD1
ENSG00000198707,CEP290
ENSG00000005379,TSPOAP1
ENSG00000159208,CIART
ENSG00000164815,ORC5
ENSG00000184347,SLIT3
ENSG00000140961,OSGIN1
ENSG00000125810,CD93
ENSG00000257764,RP11-1143G9.4
ENSG00000189007,ADAT2
ENSG00000102934,PLLP
ENSG00000196378,ZNF34
ENSG00000185201,IFITM2
ENSG00000102524,TNFSF13B
ENSG00000102575,ACP5
ENSG00000172348,RCAN2
ENSG00000197008,ZNF138
ENSG00000113361,CDH6
ENSG00000125657,TNFSF9
ENSG00000102359,SRPX2
ENSG00000074416,MGLL
ENSG00000204065,TCEAL5
ENSG00000143776,CDC42BPA
ENSG00000164236,ANKRD33B
ENSG00000155380,SLC16A1
ENSG00000118193,KIF14
ENSG00000221963,APOL6
ENSG00000157388,CACNA1D
ENSG00000170624,SGCD
ENSG00000139618,BRCA2
ENSG00000130066,SAT1
ENSG00000112742,TTK
ENSG00000227544,AC018647.3
ENSG00000261220,RP11-629O1.2
ENSG00000102181,CD99L2
ENSG00000151617,EDNRA
ENSG00000197168,NEK5
ENSG00000107864,CPEB3
ENSG00000072818,ACAP1
ENSG00000165868,HSPA12A
ENSG00000160862,AZGP1
ENSG00000170385,SLC30A1
ENSG00000132950,ZMYM5
ENSG00000156234,CXCL13
ENSG00000166923,GREM1
ENSG00000150275,PCDH15
ENSG00000121716,PILRB
ENSG00000110852,CLEC2B
ENSG00000197555,SIPA1L1
ENSG00000108423,TUBD1
ENSG00000047457,CP
ENSG00000153071,DAB2
ENSG00000067113,PLPP1
ENSG00000169562,GJB1
ENSG00000198648,STK39
ENSG00000180616,SSTR2
ENSG00000047662,FAM184B
ENSG00000143632,ACTA1
ENSG00000044574,HSPA5
ENSG00000092445,TYRO3
ENSG00000198270,TMEM116
ENSG00000189184,PCDH18
ENSG00000140386,SCAPER
ENSG00000100036,SLC35E4
ENSG00000156313,RPGR
ENSG00000091129,NRCAM
ENSG00000153208,MERTK
ENSG00000186787,SPIN2B
ENSG00000150636,CCDC102B
ENSG00000125869,LAMP5
ENSG00000183091,NEB
ENSG00000185985,SLITRK2
ENSG00000092820,EZR
ENSG00000111602,TIMELESS
ENSG00000119508,NR4A3
ENSG00000139160,ETFBKMT
ENSG00000276900,RP11-467L13.7
ENSG00000109452,INPP4B
ENSG00000273338,RP11-386I14.4
ENSG00000017427,IGF1
ENSG00000254919,RP11-698N11.2
ENSG00000075856,SART3
ENSG00000178053,MLF1
ENSG00000177409,SAMD9L
ENSG00000136928,GABBR2
ENSG00000156804,FBXO32
ENSG00000185437,SH3BGR
ENSG00000126803,HSPA2
ENSG00000186472,PCLO
ENSG00000171033,PKIA
ENSG00000146122,DAAM2
ENSG00000260260,SNHG19
ENSG00000198963,RORB
ENSG00000261371,PECAM1
ENSG00000154553,PDLIM3
ENSG00000127561,SYNGR3
ENSG00000175868,CALCB
ENSG00000132199,ENOSF1
ENSG00000077684,JADE1
ENSG00000137574,TGS1
ENSG00000123505,AMD1
ENSG00000166851,PLK1
ENSG00000144642,RBMS3
ENSG00000076641,PAG1
ENSG00000164066,INTU
ENSG00000177519,RPRM
ENSG00000095303,PTGS1
ENSG00000107984,DKK1
ENSG00000064666,CNN2
ENSG00000187957,DNER
ENSG00000156802,ATAD2
ENSG00000204946,ZNF783
ENSG00000167797,CDK2AP2
ENSG00000130653,PNPLA7
ENSG00000135925,WNT10A
ENSG00000101955,SRPX
ENSG00000134539,KLRD1
ENSG00000131773,KHDRBS3
ENSG00000138190,EXOC6
ENSG00000167094,TTC16
ENSG00000272398,CD24
ENSG00000010278,CD9
ENSG00000132182,NUP210
ENSG00000213186,TRIM59
ENSG00000131386,GALNT15
ENSG00000164742,ADCY1
ENSG00000143224,PPOX
ENSG00000164182,NDUFAF2
ENSG00000099875,MKNK2
ENSG00000072110,ACTN1
ENSG00000152583,SPARCL1
ENSG00000180376,CCDC66
ENSG00000138623,SEMA7A
ENSG00000183979,NPB
ENSG00000035403,VCL
ENSG00000168589,DYNLRB2
ENSG00000114388,NPRL2
ENSG00000134516,DOCK2
ENSG00000133316,WDR74
ENSG00000083799,CYLD
ENSG00000184857,TMEM186
ENSG00000130766,SESN2
ENSG00000160307,S100B
ENSG00000174080,CTSF
ENSG00000049249,TNFRSF9
ENSG00000159388,BTG2
ENSG00000130203,APOE
ENSG00000182010,RTKN2
ENSG00000113971,NPHP3
ENSG00000075643,MOCOS
ENSG00000145623,OSMR
ENSG00000159784,FAM131B
ENSG00000128512,DOCK4
ENSG00000166793,YPEL4
ENSG00000263528,IKBKE
ENSG00000080854,IGSF9B
ENSG00000196814,MVB12B
ENSG00000166681,BEX3
ENSG00000211445,GPX3
ENSG00000221932,HEPN1
ENSG00000204103,MAFB
ENSG00000075884,ARHGAP15
ENSG00000163874,ZC3H12A
ENSG00000163072,NOSTRIN
ENSG00000068305,MEF2A
ENSG00000233334,FAM53B-AS1
ENSG00000140479,PCSK6
ENSG00000145439,CBR4
ENSG00000128578,STRIP2
ENSG00000251442,LINC01094
ENSG00000173546,CSPG4
ENSG00000119720,NRDE2
ENSG00000102760,RGCC
ENSG00000135924,DNAJB2
ENSG00000179456,ZBTB18
ENSG00000103657,HERC1
ENSG00000118292,C1orf54
ENSG00000156427,FGF18
ENSG00000196110,ZNF699
ENSG00000166833,NAV2
ENSG00000142920,AZIN2
ENSG00000135919,SERPINE2
ENSG00000132872,SYT4
ENSG00000103064,SLC7A6
ENSG00000169194,IL13
ENSG00000159111,MRPL10
ENSG00000173848,NET1
ENSG00000176058,TPRN
ENSG00000187049,TMEM216
ENSG00000171208,NETO2
ENSG00000169306,IL1RAPL1
ENSG00000080822,CLDND1
ENSG00000123219,CENPK
ENSG00000075651,PLD1
ENSG00000237422,RP11-305L7.3
ENSG00000187764,SEMA4D
ENSG00000251562,MALAT1
ENSG00000064886,CHI3L2
ENSG00000182700,IGIP
ENSG00000146063,TRIM41
ENSG00000151208,DLG5
ENSG00000161929,SCIMP
ENSG00000008394,MGST1
ENSG00000152689,RASGRP3
ENSG00000245848,CEBPA
ENSG00000146386,ABRACL
ENSG00000049192,ADAMTS6
ENSG00000124253,PCK1
ENSG00000180332,KCTD4
ENSG00000065054,SLC9A3R2
ENSG00000225783,MIAT
ENSG00000164056,SPRY1
ENSG00000155849,ELMO1
ENSG00000129657,SEC14L1
ENSG00000092096,SLC22A17
ENSG00000198899,MT-ATP6
ENSG00000185862,EVI2B
ENSG00000090097,PCBP4
ENSG00000099949,LZTR1
ENSG00000139767,SRRM4
ENSG00000105855,ITGB8
ENSG00000131016,AKAP12
ENSG00000139354,GAS2L3
ENSG00000174599,TRAM1L1
ENSG00000109610,SOD3
ENSG00000157873,TNFRSF14
ENSG00000197859,ADAMTSL2
ENSG00000150760,DOCK1
ENSG00000142347,MYO1F
ENSG00000103479,RBL2
ENSG00000074590,NUAK1
ENSG00000167083,GNGT2
ENSG00000183395,PMCH
ENSG00000186635,ARAP1
ENSG00000099864,PALM
ENSG00000175066,GK5
ENSG00000117000,RLF
ENSG00000068383,INPP5A
ENSG00000196924,FLNA
ENSG00000151725,CENPU
ENSG00000089327,FXYD5
ENSG00000147576,ADHFE1
ENSG00000088970,KIZ
ENSG00000084110,HAL
ENSG00000145734,BDP1
ENSG00000018280,SLC11A1
ENSG00000198556,ZNF789
ENSG00000043462,LCP2
ENSG00000174373,RALGAPA1
ENSG00000146192,FGD2
ENSG00000088356,PDRG1
ENSG00000140807,NKD1
ENSG00000197063,MAFG
ENSG00000123908,AGO2
ENSG00000204487,LTB
ENSG00000186812,ZNF397
ENSG00000101224,CDC25B
ENSG00000117114,ADGRL2
ENSG00000081189,MEF2C
ENSG00000168071,CCDC88B
ENSG00000182667,NTM
ENSG00000154642,C21orf91
ENSG00000115963,RND3
ENSG00000169981,ZNF35
ENSG00000151726,ACSL1
ENSG00000203666,EFCAB2
ENSG00000054179,ENTPD2
ENSG00000213160,KLHL23
ENSG00000117266,CDK18
ENSG00000166289,PLEKHF1
ENSG00000129566,TEP1
ENSG00000188015,S100A3
ENSG00000135547,HEY2
ENSG00000160188,RSPH1
ENSG00000100504,PYGL
ENSG00000161791,FMNL3
ENSG00000118785,SPP1
ENSG00000092847,AGO1
ENSG00000253797,UTP14C
ENSG00000214401,KANSL1-AS1
ENSG00000080824,HSP90AA1
ENSG00000067082,KLF6
ENSG00000152433,ZNF547
ENSG00000105963,ADAP1
ENSG00000101126,ADNP
ENSG00000106688,SLC1A1
ENSG00000149260,CAPN5
ENSG00000126226,PCID2
ENSG00000149633,KIAA1755
ENSG00000205045,SLFN12L
ENSG00000181458,TMEM45A
ENSG00000177084,POLE
ENSG00000243716,NPIPB5
ENSG00000077279,DCX
ENSG00000164938,TP53INP1
ENSG00000154781,CCDC174
ENSG00000003400,CASP10
ENSG00000115738,ID2
ENSG00000064199,SPA17
ENSG00000147481,SNTG1
ENSG00000006283,CACNA1G
ENSG00000198133,TMEM229B
ENSG00000162595,DIRAS3
ENSG00000141524,TMC6
ENSG00000204977,TRIM13
ENSG00000198743,SLC5A3
ENSG00000138821,SLC39A8
ENSG00000137496,IL18BP
ENSG00000080986,NDC80
ENSG00000171840,NINJ2
ENSG00000079308,TNS1
ENSG00000096433,ITPR3
ENSG00000106780,MEGF9
ENSG00000162783,IER5
ENSG00000105974,CAV1
ENSG00000152104,PTPN14
ENSG00000165312,OTUD1
ENSG00000117399,CDC20
ENSG00000074181,NOTCH3
ENSG00000244509,APOBEC3C
ENSG00000175161,CADM2
ENSG00000183354,KIAA2026
ENSG00000160584,SIK3
ENSG00000130827,PLXNA3
ENSG00000137812,KNL1
ENSG00000087586,AURKA
ENSG00000100097,LGALS1
ENSG00000141298,SSH2
ENSG00000133858,ZFC3H1
ENSG00000130035,GALNT8
ENSG00000112419,PHACTR2
ENSG00000175265,GOLGA8A
ENSG00000280721,AC133644.2
ENSG00000006327,TNFRSF12A
ENSG00000173253,DMRT2
ENSG00000244274,DBNDD2
ENSG00000171621,SPSB1
ENSG00000056736,IL17RB
ENSG00000126785,RHOJ
ENSG00000104267,CA2
ENSG00000143994,ABHD1
ENSG00000164796,CSMD3
ENSG00000138379,MSTN
ENSG00000112855,HARS2
ENSG00000167186,COQ7
ENSG00000178685,PARP10
ENSG00000181649,PHLDA2
ENSG00000162692,VCAM1
ENSG00000111834,RSPH4A
ENSG00000124194,GDAP1L1
ENSG00000131584,ACAP3
ENSG00000090382,LYZ
ENSG00000024048,UBR2
ENSG00000167984,NLRC3
ENSG00000155511,GRIA1
ENSG00000081818,PCDHB4
ENSG00000179902,C1orf194
ENSG00000104490,NCALD
ENSG00000135116,HRK
ENSG00000135047,CTSL
ENSG00000166046,TCP11L2
ENSG00000052126,PLEKHA5
ENSG00000167772,ANGPTL4
ENSG00000120053,GOT1
ENSG00000221944,TIGD1
ENSG00000063322,MED29
ENSG00000158321,AUTS2
ENSG00000012171,SEMA3B
ENSG00000261824,LINC00662
ENSG00000197619,ZNF615
ENSG00000159640,ACE
ENSG00000147459,DOCK5
ENSG00000080298,RFX3
ENSG00000147894,C9orf72
ENSG00000183798,EMILIN3
ENSG00000136541,ERMN
ENSG00000164035,EMCN
ENSG00000275313,CCL4L2
ENSG00000134057,CCNB1
ENSG00000092421,SEMA6A
ENSG00000136514,RTP4
ENSG00000127074,RGS13
ENSG00000124006,OBSL1
ENSG00000185046,ANKS1B
ENSG00000095066,HOOK2
ENSG00000111846,GCNT2
ENSG00000005302,MSL3
ENSG00000068028,RASSF1
ENSG00000165424,ZCCHC24
ENSG00000140538,NTRK3
ENSG00000126107,HECTD3
ENSG00000141837,CACNA1A
ENSG00000173611,SCAI
ENSG00000241058,NSUN6
ENSG00000186469,GNG2
ENSG00000186814,ZSCAN30
ENSG00000254139,CTD-2339F6.1
ENSG00000144161,ZC3H8
ENSG00000163873,GRIK3
ENSG00000133246,PRAM1
ENSG00000139112,GABARAPL1
ENSG00000136870,ZNF189
ENSG00000211899,IGHM
ENSG00000131370,SH3BP5
ENSG00000188001,TPRG1
ENSG00000117228,GBP1
ENSG00000205643,CDPF1
ENSG00000151849,CENPJ
ENSG00000145491,ROPN1L
ENSG00000057657,PRDM1
ENSG00000082196,C1QTNF3
ENSG00000068078,FGFR3
ENSG00000076554,TPD52
ENSG00000147408,CSGALNACT1
ENSG00000145414,NAF1
ENSG00000110057,UNC93B1
ENSG00000171236,LRG1
ENSG00000132561,MATN2
ENSG00000023909,GCLM
ENSG00000121895,TMEM156
ENSG00000132329,RAMP1
ENSG00000156535,CD109
ENSG00000117650,NEK2
ENSG00000106211,HSPB1
ENSG00000245149,RNF139-AS1
ENSG00000185681,MORN5
ENSG00000007516,BAIAP3
ENSG00000144674,GOLGA4
ENSG00000184515,BEX5
ENSG00000114646,CSPG5
ENSG00000170419,VSTM2A
ENSG00000168685,IL7R
ENSG00000175455,CCDC14
ENSG00000143819,EPHX1
ENSG00000185338,SOCS1
ENSG00000145365,TIFA
ENSG00000170791,CHCHD7
ENSG00000078081,LAMP3
ENSG00000179841,AKAP5
ENSG00000265972,TXNIP
ENSG00000135549,PKIB
ENSG00000175264,CHST1
ENSG00000106003,LFNG
ENSG00000196935,SRGAP1
ENSG00000186376,ZNF75D
ENSG00000087266,SH3BP2
ENSG00000066279,ASPM
ENSG00000089250,NOS1
ENSG00000104419,NDRG1
ENSG00000067606,PRKCZ
ENSG00000170075,GPR37L1
ENSG00000164169,PRMT9
ENSG00000166925,TSC22D4
ENSG00000116574,RHOU
ENSG00000109654,TRIM2
ENSG00000107317,PTGDS
ENSG00000239789,MRPS17
ENSG00000255690,TRIL
ENSG00000152578,GRIA4
ENSG00000026025,VIM
ENSG00000155893,PXYLP1
ENSG00000069020,MAST4
ENSG00000073464,CLCN4
ENSG00000079459,FDFT1
ENSG00000135097,MSI1
ENSG00000101665,SMAD7
ENSG00000182173,TSEN54
ENSG00000138411,HECW2
ENSG00000150764,DIXDC1
ENSG00000084070,SMAP2
ENSG00000126351,THRA
ENSG00000215424,MCM3AP-AS1
ENSG00000214575,CPEB1
ENSG00000137841,PLCB2
ENSG00000149798,CDC42EP2
ENSG00000187605,TET3
ENSG00000196141,SPATS2L
ENSG00000125731,SH2D3A
ENSG00000196569,LAMA2
ENSG00000125817,CENPB
ENSG00000111679,PTPN6
ENSG00000175352,NRIP3
ENSG00000111331,OAS3
ENSG00000175866,BAIAP2
ENSG00000139910,NOVA1
ENSG00000197372,ZNF675
ENSG00000069966,GNB5
ENSG00000149294,NCAM1
ENSG00000103460,TOX3
ENSG00000167967,E4F1
ENSG00000133083,DCLK1
ENSG00000164949,GEM
ENSG00000118971,CCND2
ENSG00000174483,BBS1
ENSG00000130707,ASS1
ENSG00000239569,KMT2E-AS1
ENSG00000090905,TNRC6A
ENSG00000117461,PIK3R3
ENSG00000160298,C21orf58
ENSG00000140379,BCL2A1
ENSG00000197746,PSAP
ENSG00000113070,HBEGF
ENSG00000116667,C1orf21
ENSG00000131669,NINJ1
ENSG00000128052,KDR
ENSG00000140443,IGF1R
ENSG00000255112,CHMP1B
ENSG00000114790,ARHGEF26
ENSG00000127311,HELB
ENSG00000114270,COL7A1
ENSG00000197579,TOPORS
ENSG00000163659,TIPARP
ENSG00000197635,DPP4
ENSG00000240288,GHRLOS
ENSG00000023892,DEF6
ENSG00000226746,SMCR5
ENSG00000258890,CEP95
ENSG00000238121,LINC00426
ENSG00000076604,TRAF4
ENSG00000168394,TAP1
ENSG00000107077,KDM4C
ENSG00000136842,TMOD1
ENSG00000196196,HRCT1
ENSG00000134853,PDGFRA
ENSG00000184730,APOBR
ENSG00000065361,ERBB3
ENSG00000147121,KRBOX4
ENSG00000110031,LPXN
ENSG00000066336,SPI1
ENSG00000133997,MED6
ENSG00000187068,C3orf70
ENSG00000104381,GDAP1
ENSG00000137959,IFI44L
ENSG00000047634,SCML1
ENSG00000116254,CHD5
ENSG00000117122,MFAP2
ENSG00000150347,ARID5B
ENSG00000196091,MYBPC1
ENSG00000160678,S100A1
ENSG00000166908,PIP4K2C
ENSG00000254281,KB-1507C5.4
ENSG00000198719,DLL1
ENSG00000213983,AP1G2
ENSG00000196233,LCOR
ENSG00000082684,SEMA5B
ENSG00000166448,TMEM130
ENSG00000067064,IDI1
ENSG00000189171,S100A13
ENSG00000144278,GALNT13
ENSG00000172159,FRMD3
ENSG00000105327,BBC3
ENSG00000070018,LRP6
ENSG00000166710,B2M
ENSG00000213809,KLRK1
ENSG00000108474,PIGL
ENSG00000036530,CYP46A1
ENSG00000169744,LDB2
ENSG00000172361,CFAP53
ENSG00000079277,MKNK1
ENSG00000124198,ARFGEF2
ENSG00000039319,ZFYVE16
ENSG00000138061,CYP1B1
ENSG00000143815,LBR
ENSG00000159733,ZFYVE28
ENSG00000114841,DNAH1
ENSG00000168813,ZNF507
ENSG00000078018,MAP2
ENSG00000047346,FAM214A
ENSG00000223473,GS1-124K5.3
ENSG00000111266,DUSP16
ENSG00000162924,REL
ENSG00000173320,STOX2
ENSG00000234707,RP11-745C15.2
ENSG00000189337,KAZN
ENSG00000160949,TONSL
ENSG00000187715,KBTBD12
ENSG00000115641,FHL2
ENSG00000135451,TROAP
ENSG00000127585,FBXL16
ENSG00000116679,IVNS1ABP
ENSG00000117602,RCAN3
ENSG00000148053,NTRK2
ENSG00000225442,MPRIP-AS1
ENSG00000187147,RNF220
ENSG00000183309,ZNF623
ENSG00000236334,PPIAL4G
ENSG00000196369,SRGAP2B
ENSG00000144791,LIMD1
ENSG00000148468,FAM171A1
ENSG00000095739,BAMBI
ENSG00000177853,ZNF518A
ENSG00000198482,ZNF808
ENSG00000164530,PI16
ENSG00000169504,CLIC4
ENSG00000081181,ARG2
ENSG00000221838,AP4M1
ENSG00000119866,BCL11A
ENSG00000166278,C2
ENSG00000102390,PBDC1
ENSG00000153956,CACNA2D1
ENSG00000165929,TC2N
ENSG00000134326,CMPK2
ENSG00000128045,RASL11B
ENSG00000048028,USP28
ENSG00000173801,JUP
ENSG00000198786,MT-ND5
ENSG00000042493,CAPG
ENSG00000140044,JDP2
ENSG00000138002,IFT172
ENSG00000196954,CASP4
ENSG00000152926,ZNF117
ENSG00000166801,FAM111A
ENSG00000136531,SCN2A
ENSG00000273319,RP11-138A9.2
ENSG00000164930,FZD6
ENSG00000127824,TUBA4A
ENSG00000151552,QDPR
ENSG00000109099,PMP22
ENSG00000164089,ETNPPL
ENSG00000155265,GOLGA7B
ENSG00000115008,IL1A
ENSG00000170312,CDK1
ENSG00000105971,CAV2
ENSG00000129355,CDKN2D
ENSG00000164211,STARD4
ENSG00000146021,KLHL3
ENSG00000169519,METTL15
ENSG00000134574,DDB2
ENSG00000134291,TMEM106C
ENSG00000267270,PARD6G-AS1
ENSG00000198563,DDX39B
ENSG00000090989,EXOC1
ENSG00000136867,SLC31A2
ENSG00000164327,RICTOR
ENSG00000228630,HOTAIR
ENSG00000117115,PADI2
ENSG00000258818,RNASE4
ENSG00000164506,STXBP5
ENSG00000148541,FAM13C
ENSG00000197121,PGAP1
ENSG00000147588,PMP2
ENSG00000115468,EFHD1
ENSG00000006606,CCL26
ENSG00000082397,EPB41L3
ENSG00000168769,TET2
ENSG00000128656,CHN1
ENSG00000197622,CDC42SE1
ENSG00000137872,SEMA6D
ENSG00000143315,PIGM
ENSG00000205903,ZNF316
ENSG00000186868,MAPT
ENSG00000196083,IL1RAP
ENSG00000066427,ATXN3
ENSG00000158528,PPP1R9A
ENSG00000122861,PLAU
ENSG00000072182,ASIC4
ENSG00000089775,ZBTB25
ENSG00000176046,NUPR1
ENSG00000072134,EPN2
ENSG00000163171,CDC42EP3
ENSG00000058673,ZC3H11A
ENSG00000165175,MID1IP1
ENSG00000164171,ITGA2
ENSG00000168785,TSPAN5
ENSG00000197956,S100A6
ENSG00000123496,IL13RA2
ENSG00000100600,LGMN
ENSG00000275395,FCGBP
ENSG00000117020,AKT3
ENSG00000073350,LLGL2
ENSG00000125848,FLRT3
ENSG00000133169,BEX1
ENSG00000104518,GSDMD
ENSG00000100526,CDKN3
ENSG00000185070,FLRT2
ENSG00000062370,ZNF112
ENSG00000157483,MYO1E
ENSG00000125675,GRIA3
ENSG00000155961,RAB39B
ENSG00000081913,PHLPP1
ENSG00000188483,IER5L
ENSG00000080503,SMARCA2
ENSG00000235919,ASH1L-AS1
ENSG00000006194,ZNF263
ENSG00000172548,NIPAL4
ENSG00000120802,TMPO
ENSG00000129226,CD68
ENSG00000049130,KITLG
ENSG00000163808,KIF15
ENSG00000145632,PLK2
ENSG00000108219,TSPAN14
ENSG00000179029,TMEM107
ENSG00000101203,COL20A1
ENSG00000151320,AKAP6
ENSG00000137497,NUMA1
ENSG00000140450,ARRDC4
ENSG00000114200,BCHE
ENSG00000162702,ZNF281
ENSG00000185561,TLCD2
ENSG00000206573,THUMPD3-AS1
ENSG00000127946,HIP1
ENSG00000162374,ELAVL4
ENSG00000139193,CD27
ENSG00000204624,DISP3
ENSG00000173041,ZNF680
ENSG00000100055,CYTH4
ENSG00000085563,ABCB1
ENSG00000186594,MIR22HG
ENSG00000102096,PIM2
