ensmbl
TRIM63,ENSG00000158022
UBE2S,ENSG00000108106
IMMP2L,ENSG00000184903
AHNAK,ENSG00000124942
LBH,ENSG00000213626
CD34,ENSG00000174059
EMP1,ENSG00000134531
SATB1,ENSG00000182568
ARHGAP45,ENSG00000180448
BEST1,ENSG00000167995
DNMT3A,ENSG00000119772
TMEM80,ENSG00000177042
TLE1,ENSG00000196781
FCN1,ENSG00000085265
HMGN2,ENSG00000198830
PAPPA,ENSG00000182752
ZNF616,ENSG00000204611
CELSR3,ENSG00000008300
DCLK2,ENSG00000170390
DBN1,ENSG00000113758
VPS37B,ENSG00000139722
PTPN4,ENSG00000088179
YBX3,ENSG00000060138
PUS7L,ENSG00000129317
RP11-395G23.3,ENSG00000254615
SOX11,ENSG00000176887
SDR39U1,ENSG00000100445
RTKN,ENSG00000114993
MLLT6,ENSG00000275023
MXD1,ENSG00000059728
DLL3,ENSG00000090932
MLXIPL,ENSG00000009950
ZNF267,ENSG00000185947
KIR3DX1,ENSG00000104970
LINC00463,ENSG00000234056
CES4A,ENSG00000172824
RNF165,ENSG00000141622
ITGA8,ENSG00000077943
EPB41L1,ENSG00000088367
FALEC,ENSG00000228126
MOBP,ENSG00000168314
CELSR2,ENSG00000143126
TPPP,ENSG00000171368
SLC6A9,ENSG00000196517
SECISBP2L,ENSG00000138593
BTN3A2,ENSG00000186470
TIMP4,ENSG00000157150
TMEM260,ENSG00000070269
POLR2B,ENSG00000047315
AQP1,ENSG00000240583
ETV3,ENSG00000117036
LRIG1,ENSG00000144749
ZNF141,ENSG00000131127
TNFSF10,ENSG00000121858
STX3,ENSG00000166900
CENPN,ENSG00000166451
PRC1,ENSG00000198901
ICAM3,ENSG00000076662
TNFRSF25,ENSG00000215788
APOC1,ENSG00000130208
PABPC1L,ENSG00000101104
VMO1,ENSG00000182853
IFI44,ENSG00000137965
BTNL9,ENSG00000165810
DEDD2,ENSG00000160570
LSAMP,ENSG00000185565
VWA1,ENSG00000179403
ZC3H4,ENSG00000130749
PDE7B,ENSG00000171408
ADAM19,ENSG00000135074
SLC44A5,ENSG00000137968
MYLIP,ENSG00000007944
SLF1,ENSG00000133302
ADGRE5,ENSG00000123146
GGH,ENSG00000137563
NID1,ENSG00000116962
CSTF3,ENSG00000176102
SLC1A3,ENSG00000079215
LSS,ENSG00000160285
PRKAG2,ENSG00000106617
KIF13B,ENSG00000197892
AFMID,ENSG00000183077
RP1-34B20.21,ENSG00000282988
LAMB1,ENSG00000091136
NCF2,ENSG00000116701
IGFBP5,ENSG00000115461
FAT3,ENSG00000165323
NRP1,ENSG00000099250
PLXND1,ENSG00000004399
FAM177B,ENSG00000197520
CNTRL,ENSG00000119397
SLA2,ENSG00000101082
TET1,ENSG00000138336
DND1,ENSG00000256453
FOXO1,ENSG00000150907
ZNF135,ENSG00000176293
CMTM7,ENSG00000153551
LINC01551,ENSG00000186960
PLK3,ENSG00000173846
B3GAT1,ENSG00000109956
COL6A1,ENSG00000142156
LILRB3,ENSG00000204577
EAF1,ENSG00000144597
DAPL1,ENSG00000163331
DBT,ENSG00000137992
ANKRD49,ENSG00000168876
CTBP1-AS,ENSG00000280927
BOD1L1,ENSG00000038219
SATB2,ENSG00000119042
DPYSL2,ENSG00000092964
ABCA5,ENSG00000154265
BISPR,ENSG00000282851
HLA-DPA1,ENSG00000168384
ZNF365,ENSG00000138311
SCRG1,ENSG00000164106
HDAC9,ENSG00000048052
NEDD9,ENSG00000111859
ANKRD37,ENSG00000186352
TRERF1,ENSG00000124496
SDF2L1,ENSG00000128228
TCEAL2,ENSG00000184905
ZFAND2A,ENSG00000178381
AP005530.2,ENSG00000263305
CKAP2,ENSG00000136108
ANKRD36,ENSG00000135976
TUBB4A,ENSG00000104833
CREB5,ENSG00000146592
RNF213,ENSG00000173821
SOD2,ENSG00000112096
RGS5,ENSG00000143248
SMCHD1,ENSG00000101596
CEP290,ENSG00000198707
TSPOAP1,ENSG00000005379
CIART,ENSG00000159208
ORC5,ENSG00000164815
SLIT3,ENSG00000184347
OSGIN1,ENSG00000140961
CD93,ENSG00000125810
RP11-1143G9.4,ENSG00000257764
ADAT2,ENSG00000189007
PLLP,ENSG00000102934
ZNF34,ENSG00000196378
IFITM2,ENSG00000185201
TNFSF13B,ENSG00000102524
ACP5,ENSG00000102575
RCAN2,ENSG00000172348
ZNF138,ENSG00000197008
CDH6,ENSG00000113361
TNFSF9,ENSG00000125657
SRPX2,ENSG00000102359
MGLL,ENSG00000074416
TCEAL5,ENSG00000204065
CDC42BPA,ENSG00000143776
ANKRD33B,ENSG00000164236
SLC16A1,ENSG00000155380
KIF14,ENSG00000118193
APOL6,ENSG00000221963
CACNA1D,ENSG00000157388
SGCD,ENSG00000170624
BRCA2,ENSG00000139618
SAT1,ENSG00000130066
TTK,ENSG00000112742
AC018647.3,ENSG00000227544
RP11-629O1.2,ENSG00000261220
CD99L2,ENSG00000102181
EDNRA,ENSG00000151617
NEK5,ENSG00000197168
CPEB3,ENSG00000107864
ACAP1,ENSG00000072818
HSPA12A,ENSG00000165868
AZGP1,ENSG00000160862
SLC30A1,ENSG00000170385
ZMYM5,ENSG00000132950
CXCL13,ENSG00000156234
GREM1,ENSG00000166923
PCDH15,ENSG00000150275
PILRB,ENSG00000121716
CLEC2B,ENSG00000110852
SIPA1L1,ENSG00000197555
TUBD1,ENSG00000108423
CP,ENSG00000047457
DAB2,ENSG00000153071
PLPP1,ENSG00000067113
GJB1,ENSG00000169562
STK39,ENSG00000198648
SSTR2,ENSG00000180616
FAM184B,ENSG00000047662
ACTA1,ENSG00000143632
HSPA5,ENSG00000044574
TYRO3,ENSG00000092445
TMEM116,ENSG00000198270
PCDH18,ENSG00000189184
SCAPER,ENSG00000140386
SLC35E4,ENSG00000100036
RPGR,ENSG00000156313
NRCAM,ENSG00000091129
MERTK,ENSG00000153208
SPIN2B,ENSG00000186787
CCDC102B,ENSG00000150636
LAMP5,ENSG00000125869
NEB,ENSG00000183091
SLITRK2,ENSG00000185985
EZR,ENSG00000092820
TIMELESS,ENSG00000111602
NR4A3,ENSG00000119508
ETFBKMT,ENSG00000139160
RP11-467L13.7,ENSG00000276900
INPP4B,ENSG00000109452
RP11-386I14.4,ENSG00000273338
IGF1,ENSG00000017427
RP11-698N11.2,ENSG00000254919
SART3,ENSG00000075856
MLF1,ENSG00000178053
SAMD9L,ENSG00000177409
GABBR2,ENSG00000136928
FBXO32,ENSG00000156804
SH3BGR,ENSG00000185437
HSPA2,ENSG00000126803
PCLO,ENSG00000186472
PKIA,ENSG00000171033
DAAM2,ENSG00000146122
SNHG19,ENSG00000260260
RORB,ENSG00000198963
PECAM1,ENSG00000261371
PDLIM3,ENSG00000154553
SYNGR3,ENSG00000127561
CALCB,ENSG00000175868
ENOSF1,ENSG00000132199
JADE1,ENSG00000077684
TGS1,ENSG00000137574
AMD1,ENSG00000123505
PLK1,ENSG00000166851
RBMS3,ENSG00000144642
PAG1,ENSG00000076641
INTU,ENSG00000164066
RPRM,ENSG00000177519
PTGS1,ENSG00000095303
DKK1,ENSG00000107984
CNN2,ENSG00000064666
DNER,ENSG00000187957
ATAD2,ENSG00000156802
ZNF783,ENSG00000204946
CDK2AP2,ENSG00000167797
PNPLA7,ENSG00000130653
WNT10A,ENSG00000135925
SRPX,ENSG00000101955
KLRD1,ENSG00000134539
KHDRBS3,ENSG00000131773
EXOC6,ENSG00000138190
TTC16,ENSG00000167094
CD24,ENSG00000272398
CD9,ENSG00000010278
NUP210,ENSG00000132182
TRIM59,ENSG00000213186
GALNT15,ENSG00000131386
ADCY1,ENSG00000164742
PPOX,ENSG00000143224
NDUFAF2,ENSG00000164182
MKNK2,ENSG00000099875
ACTN1,ENSG00000072110
SPARCL1,ENSG00000152583
CCDC66,ENSG00000180376
SEMA7A,ENSG00000138623
NPB,ENSG00000183979
VCL,ENSG00000035403
DYNLRB2,ENSG00000168589
NPRL2,ENSG00000114388
DOCK2,ENSG00000134516
WDR74,ENSG00000133316
CYLD,ENSG00000083799
TMEM186,ENSG00000184857
SESN2,ENSG00000130766
S100B,ENSG00000160307
CTSF,ENSG00000174080
TNFRSF9,ENSG00000049249
BTG2,ENSG00000159388
APOE,ENSG00000130203
RTKN2,ENSG00000182010
NPHP3,ENSG00000113971
MOCOS,ENSG00000075643
OSMR,ENSG00000145623
FAM131B,ENSG00000159784
DOCK4,ENSG00000128512
YPEL4,ENSG00000166793
IKBKE,ENSG00000263528
IGSF9B,ENSG00000080854
MVB12B,ENSG00000196814
BEX3,ENSG00000166681
GPX3,ENSG00000211445
HEPN1,ENSG00000221932
MAFB,ENSG00000204103
ARHGAP15,ENSG00000075884
ZC3H12A,ENSG00000163874
NOSTRIN,ENSG00000163072
MEF2A,ENSG00000068305
FAM53B-AS1,ENSG00000233334
PCSK6,ENSG00000140479
CBR4,ENSG00000145439
STRIP2,ENSG00000128578
LINC01094,ENSG00000251442
CSPG4,ENSG00000173546
NRDE2,ENSG00000119720
RGCC,ENSG00000102760
DNAJB2,ENSG00000135924
ZBTB18,ENSG00000179456
HERC1,ENSG00000103657
C1orf54,ENSG00000118292
FGF18,ENSG00000156427
ZNF699,ENSG00000196110
NAV2,ENSG00000166833
AZIN2,ENSG00000142920
SERPINE2,ENSG00000135919
SYT4,ENSG00000132872
SLC7A6,ENSG00000103064
IL13,ENSG00000169194
MRPL10,ENSG00000159111
NET1,ENSG00000173848
TPRN,ENSG00000176058
TMEM216,ENSG00000187049
NETO2,ENSG00000171208
IL1RAPL1,ENSG00000169306
CLDND1,ENSG00000080822
CENPK,ENSG00000123219
PLD1,ENSG00000075651
RP11-305L7.3,ENSG00000237422
SEMA4D,ENSG00000187764
MALAT1,ENSG00000251562
CHI3L2,ENSG00000064886
IGIP,ENSG00000182700
TRIM41,ENSG00000146063
DLG5,ENSG00000151208
SCIMP,ENSG00000161929
MGST1,ENSG00000008394
RASGRP3,ENSG00000152689
CEBPA,ENSG00000245848
ABRACL,ENSG00000146386
ADAMTS6,ENSG00000049192
PCK1,ENSG00000124253
KCTD4,ENSG00000180332
SLC9A3R2,ENSG00000065054
MIAT,ENSG00000225783
SPRY1,ENSG00000164056
ELMO1,ENSG00000155849
SEC14L1,ENSG00000129657
SLC22A17,ENSG00000092096
MT-ATP6,ENSG00000198899
EVI2B,ENSG00000185862
PCBP4,ENSG00000090097
LZTR1,ENSG00000099949
SRRM4,ENSG00000139767
ITGB8,ENSG00000105855
AKAP12,ENSG00000131016
GAS2L3,ENSG00000139354
TRAM1L1,ENSG00000174599
SOD3,ENSG00000109610
TNFRSF14,ENSG00000157873
ADAMTSL2,ENSG00000197859
DOCK1,ENSG00000150760
MYO1F,ENSG00000142347
RBL2,ENSG00000103479
NUAK1,ENSG00000074590
GNGT2,ENSG00000167083
PMCH,ENSG00000183395
ARAP1,ENSG00000186635
PALM,ENSG00000099864
GK5,ENSG00000175066
RLF,ENSG00000117000
INPP5A,ENSG00000068383
FLNA,ENSG00000196924
CENPU,ENSG00000151725
FXYD5,ENSG00000089327
ADHFE1,ENSG00000147576
KIZ,ENSG00000088970
HAL,ENSG00000084110
BDP1,ENSG00000145734
SLC11A1,ENSG00000018280
ZNF789,ENSG00000198556
LCP2,ENSG00000043462
RALGAPA1,ENSG00000174373
FGD2,ENSG00000146192
PDRG1,ENSG00000088356
NKD1,ENSG00000140807
MAFG,ENSG00000197063
AGO2,ENSG00000123908
LTB,ENSG00000204487
ZNF397,ENSG00000186812
CDC25B,ENSG00000101224
ADGRL2,ENSG00000117114
MEF2C,ENSG00000081189
CCDC88B,ENSG00000168071
NTM,ENSG00000182667
C21orf91,ENSG00000154642
RND3,ENSG00000115963
ZNF35,ENSG00000169981
ACSL1,ENSG00000151726
EFCAB2,ENSG00000203666
ENTPD2,ENSG00000054179
KLHL23,ENSG00000213160
CDK18,ENSG00000117266
PLEKHF1,ENSG00000166289
TEP1,ENSG00000129566
S100A3,ENSG00000188015
HEY2,ENSG00000135547
RSPH1,ENSG00000160188
PYGL,ENSG00000100504
FMNL3,ENSG00000161791
SPP1,ENSG00000118785
AGO1,ENSG00000092847
UTP14C,ENSG00000253797
KANSL1-AS1,ENSG00000214401
HSP90AA1,ENSG00000080824
KLF6,ENSG00000067082
ZNF547,ENSG00000152433
ADAP1,ENSG00000105963
ADNP,ENSG00000101126
SLC1A1,ENSG00000106688
CAPN5,ENSG00000149260
PCID2,ENSG00000126226
KIAA1755,ENSG00000149633
SLFN12L,ENSG00000205045
TMEM45A,ENSG00000181458
POLE,ENSG00000177084
NPIPB5,ENSG00000243716
DCX,ENSG00000077279
TP53INP1,ENSG00000164938
CCDC174,ENSG00000154781
CASP10,ENSG00000003400
ID2,ENSG00000115738
SPA17,ENSG00000064199
SNTG1,ENSG00000147481
CACNA1G,ENSG00000006283
TMEM229B,ENSG00000198133
DIRAS3,ENSG00000162595
TMC6,ENSG00000141524
TRIM13,ENSG00000204977
SLC5A3,ENSG00000198743
SLC39A8,ENSG00000138821
IL18BP,ENSG00000137496
NDC80,ENSG00000080986
NINJ2,ENSG00000171840
TNS1,ENSG00000079308
ITPR3,ENSG00000096433
MEGF9,ENSG00000106780
IER5,ENSG00000162783
CAV1,ENSG00000105974
PTPN14,ENSG00000152104
OTUD1,ENSG00000165312
CDC20,ENSG00000117399
NOTCH3,ENSG00000074181
APOBEC3C,ENSG00000244509
CADM2,ENSG00000175161
KIAA2026,ENSG00000183354
SIK3,ENSG00000160584
PLXNA3,ENSG00000130827
KNL1,ENSG00000137812
AURKA,ENSG00000087586
LGALS1,ENSG00000100097
SSH2,ENSG00000141298
ZFC3H1,ENSG00000133858
GALNT8,ENSG00000130035
PHACTR2,ENSG00000112419
GOLGA8A,ENSG00000175265
AC133644.2,ENSG00000280721
TNFRSF12A,ENSG00000006327
DMRT2,ENSG00000173253
DBNDD2,ENSG00000244274
SPSB1,ENSG00000171621
IL17RB,ENSG00000056736
RHOJ,ENSG00000126785
CA2,ENSG00000104267
ABHD1,ENSG00000143994
CSMD3,ENSG00000164796
MSTN,ENSG00000138379
HARS2,ENSG00000112855
COQ7,ENSG00000167186
PARP10,ENSG00000178685
PHLDA2,ENSG00000181649
VCAM1,ENSG00000162692
RSPH4A,ENSG00000111834
GDAP1L1,ENSG00000124194
ACAP3,ENSG00000131584
LYZ,ENSG00000090382
UBR2,ENSG00000024048
NLRC3,ENSG00000167984
GRIA1,ENSG00000155511
PCDHB4,ENSG00000081818
C1orf194,ENSG00000179902
NCALD,ENSG00000104490
HRK,ENSG00000135116
CTSL,ENSG00000135047
TCP11L2,ENSG00000166046
PLEKHA5,ENSG00000052126
ANGPTL4,ENSG00000167772
GOT1,ENSG00000120053
TIGD1,ENSG00000221944
MED29,ENSG00000063322
AUTS2,ENSG00000158321
SEMA3B,ENSG00000012171
LINC00662,ENSG00000261824
ZNF615,ENSG00000197619
ACE,ENSG00000159640
DOCK5,ENSG00000147459
RFX3,ENSG00000080298
C9orf72,ENSG00000147894
EMILIN3,ENSG00000183798
ERMN,ENSG00000136541
EMCN,ENSG00000164035
CCL4L2,ENSG00000275313
CCNB1,ENSG00000134057
SEMA6A,ENSG00000092421
RTP4,ENSG00000136514
RGS13,ENSG00000127074
OBSL1,ENSG00000124006
ANKS1B,ENSG00000185046
HOOK2,ENSG00000095066
GCNT2,ENSG00000111846
MSL3,ENSG00000005302
RASSF1,ENSG00000068028
ZCCHC24,ENSG00000165424
NTRK3,ENSG00000140538
HECTD3,ENSG00000126107
CACNA1A,ENSG00000141837
SCAI,ENSG00000173611
NSUN6,ENSG00000241058
GNG2,ENSG00000186469
ZSCAN30,ENSG00000186814
CTD-2339F6.1,ENSG00000254139
ZC3H8,ENSG00000144161
GRIK3,ENSG00000163873
PRAM1,ENSG00000133246
GABARAPL1,ENSG00000139112
ZNF189,ENSG00000136870
IGHM,ENSG00000211899
SH3BP5,ENSG00000131370
TPRG1,ENSG00000188001
GBP1,ENSG00000117228
CDPF1,ENSG00000205643
CENPJ,ENSG00000151849
ROPN1L,ENSG00000145491
PRDM1,ENSG00000057657
C1QTNF3,ENSG00000082196
FGFR3,ENSG00000068078
TPD52,ENSG00000076554
CSGALNACT1,ENSG00000147408
NAF1,ENSG00000145414
UNC93B1,ENSG00000110057
LRG1,ENSG00000171236
MATN2,ENSG00000132561
GCLM,ENSG00000023909
TMEM156,ENSG00000121895
RAMP1,ENSG00000132329
CD109,ENSG00000156535
NEK2,ENSG00000117650
HSPB1,ENSG00000106211
RNF139-AS1,ENSG00000245149
MORN5,ENSG00000185681
BAIAP3,ENSG00000007516
GOLGA4,ENSG00000144674
BEX5,ENSG00000184515
CSPG5,ENSG00000114646
VSTM2A,ENSG00000170419
IL7R,ENSG00000168685
CCDC14,ENSG00000175455
EPHX1,ENSG00000143819
SOCS1,ENSG00000185338
TIFA,ENSG00000145365
CHCHD7,ENSG00000170791
LAMP3,ENSG00000078081
AKAP5,ENSG00000179841
TXNIP,ENSG00000265972
PKIB,ENSG00000135549
CHST1,ENSG00000175264
LFNG,ENSG00000106003
SRGAP1,ENSG00000196935
ZNF75D,ENSG00000186376
SH3BP2,ENSG00000087266
ASPM,ENSG00000066279
NOS1,ENSG00000089250
NDRG1,ENSG00000104419
PRKCZ,ENSG00000067606
GPR37L1,ENSG00000170075
PRMT9,ENSG00000164169
TSC22D4,ENSG00000166925
RHOU,ENSG00000116574
TRIM2,ENSG00000109654
PTGDS,ENSG00000107317
MRPS17,ENSG00000239789
TRIL,ENSG00000255690
GRIA4,ENSG00000152578
VIM,ENSG00000026025
PXYLP1,ENSG00000155893
MAST4,ENSG00000069020
CLCN4,ENSG00000073464
FDFT1,ENSG00000079459
MSI1,ENSG00000135097
SMAD7,ENSG00000101665
TSEN54,ENSG00000182173
HECW2,ENSG00000138411
DIXDC1,ENSG00000150764
SMAP2,ENSG00000084070
THRA,ENSG00000126351
MCM3AP-AS1,ENSG00000215424
CPEB1,ENSG00000214575
PLCB2,ENSG00000137841
CDC42EP2,ENSG00000149798
TET3,ENSG00000187605
SPATS2L,ENSG00000196141
SH2D3A,ENSG00000125731
LAMA2,ENSG00000196569
CENPB,ENSG00000125817
PTPN6,ENSG00000111679
NRIP3,ENSG00000175352
OAS3,ENSG00000111331
BAIAP2,ENSG00000175866
NOVA1,ENSG00000139910
ZNF675,ENSG00000197372
GNB5,ENSG00000069966
NCAM1,ENSG00000149294
TOX3,ENSG00000103460
E4F1,ENSG00000167967
DCLK1,ENSG00000133083
GEM,ENSG00000164949
CCND2,ENSG00000118971
BBS1,ENSG00000174483
ASS1,ENSG00000130707
KMT2E-AS1,ENSG00000239569
TNRC6A,ENSG00000090905
PIK3R3,ENSG00000117461
C21orf58,ENSG00000160298
BCL2A1,ENSG00000140379
PSAP,ENSG00000197746
HBEGF,ENSG00000113070
C1orf21,ENSG00000116667
NINJ1,ENSG00000131669
KDR,ENSG00000128052
IGF1R,ENSG00000140443
CHMP1B,ENSG00000255112
ARHGEF26,ENSG00000114790
HELB,ENSG00000127311
COL7A1,ENSG00000114270
TOPORS,ENSG00000197579
TIPARP,ENSG00000163659
DPP4,ENSG00000197635
GHRLOS,ENSG00000240288
DEF6,ENSG00000023892
SMCR5,ENSG00000226746
CEP95,ENSG00000258890
LINC00426,ENSG00000238121
TRAF4,ENSG00000076604
TAP1,ENSG00000168394
KDM4C,ENSG00000107077
TMOD1,ENSG00000136842
HRCT1,ENSG00000196196
PDGFRA,ENSG00000134853
APOBR,ENSG00000184730
ERBB3,ENSG00000065361
KRBOX4,ENSG00000147121
LPXN,ENSG00000110031
SPI1,ENSG00000066336
MED6,ENSG00000133997
C3orf70,ENSG00000187068
GDAP1,ENSG00000104381
IFI44L,ENSG00000137959
SCML1,ENSG00000047634
CHD5,ENSG00000116254
MFAP2,ENSG00000117122
ARID5B,ENSG00000150347
MYBPC1,ENSG00000196091
S100A1,ENSG00000160678
PIP4K2C,ENSG00000166908
KB-1507C5.4,ENSG00000254281
DLL1,ENSG00000198719
AP1G2,ENSG00000213983
LCOR,ENSG00000196233
SEMA5B,ENSG00000082684
TMEM130,ENSG00000166448
IDI1,ENSG00000067064
S100A13,ENSG00000189171
GALNT13,ENSG00000144278
FRMD3,ENSG00000172159
BBC3,ENSG00000105327
LRP6,ENSG00000070018
B2M,ENSG00000166710
KLRK1,ENSG00000213809
PIGL,ENSG00000108474
CYP46A1,ENSG00000036530
LDB2,ENSG00000169744
CFAP53,ENSG00000172361
MKNK1,ENSG00000079277
ARFGEF2,ENSG00000124198
ZFYVE16,ENSG00000039319
CYP1B1,ENSG00000138061
LBR,ENSG00000143815
ZFYVE28,ENSG00000159733
DNAH1,ENSG00000114841
ZNF507,ENSG00000168813
MAP2,ENSG00000078018
FAM214A,ENSG00000047346
GS1-124K5.3,ENSG00000223473
DUSP16,ENSG00000111266
REL,ENSG00000162924
STOX2,ENSG00000173320
RP11-745C15.2,ENSG00000234707
KAZN,ENSG00000189337
TONSL,ENSG00000160949
KBTBD12,ENSG00000187715
FHL2,ENSG00000115641
TROAP,ENSG00000135451
FBXL16,ENSG00000127585
IVNS1ABP,ENSG00000116679
RCAN3,ENSG00000117602
NTRK2,ENSG00000148053
MPRIP-AS1,ENSG00000225442
RNF220,ENSG00000187147
ZNF623,ENSG00000183309
PPIAL4G,ENSG00000236334
SRGAP2B,ENSG00000196369
LIMD1,ENSG00000144791
FAM171A1,ENSG00000148468
BAMBI,ENSG00000095739
ZNF518A,ENSG00000177853
ZNF808,ENSG00000198482
PI16,ENSG00000164530
CLIC4,ENSG00000169504
ARG2,ENSG00000081181
AP4M1,ENSG00000221838
BCL11A,ENSG00000119866
C2,ENSG00000166278
PBDC1,ENSG00000102390
CACNA2D1,ENSG00000153956
TC2N,ENSG00000165929
CMPK2,ENSG00000134326
RASL11B,ENSG00000128045
USP28,ENSG00000048028
JUP,ENSG00000173801
MT-ND5,ENSG00000198786
CAPG,ENSG00000042493
JDP2,ENSG00000140044
IFT172,ENSG00000138002
CASP4,ENSG00000196954
ZNF117,ENSG00000152926
FAM111A,ENSG00000166801
SCN2A,ENSG00000136531
RP11-138A9.2,ENSG00000273319
FZD6,ENSG00000164930
TUBA4A,ENSG00000127824
QDPR,ENSG00000151552
PMP22,ENSG00000109099
ETNPPL,ENSG00000164089
GOLGA7B,ENSG00000155265
IL1A,ENSG00000115008
CDK1,ENSG00000170312
CAV2,ENSG00000105971
CDKN2D,ENSG00000129355
STARD4,ENSG00000164211
KLHL3,ENSG00000146021
METTL15,ENSG00000169519
DDB2,ENSG00000134574
TMEM106C,ENSG00000134291
PARD6G-AS1,ENSG00000267270
DDX39B,ENSG00000198563
EXOC1,ENSG00000090989
SLC31A2,ENSG00000136867
RICTOR,ENSG00000164327
HOTAIR,ENSG00000228630
PADI2,ENSG00000117115
RNASE4,ENSG00000258818
STXBP5,ENSG00000164506
FAM13C,ENSG00000148541
PGAP1,ENSG00000197121
PMP2,ENSG00000147588
EFHD1,ENSG00000115468
CCL26,ENSG00000006606
EPB41L3,ENSG00000082397
TET2,ENSG00000168769
CHN1,ENSG00000128656
CDC42SE1,ENSG00000197622
SEMA6D,ENSG00000137872
PIGM,ENSG00000143315
ZNF316,ENSG00000205903
MAPT,ENSG00000186868
IL1RAP,ENSG00000196083
ATXN3,ENSG00000066427
PPP1R9A,ENSG00000158528
PLAU,ENSG00000122861
ASIC4,ENSG00000072182
ZBTB25,ENSG00000089775
NUPR1,ENSG00000176046
EPN2,ENSG00000072134
CDC42EP3,ENSG00000163171
ZC3H11A,ENSG00000058673
MID1IP1,ENSG00000165175
ITGA2,ENSG00000164171
TSPAN5,ENSG00000168785
S100A6,ENSG00000197956
IL13RA2,ENSG00000123496
LGMN,ENSG00000100600
FCGBP,ENSG00000275395
AKT3,ENSG00000117020
LLGL2,ENSG00000073350
FLRT3,ENSG00000125848
BEX1,ENSG00000133169
GSDMD,ENSG00000104518
CDKN3,ENSG00000100526
FLRT2,ENSG00000185070
ZNF112,ENSG00000062370
MYO1E,ENSG00000157483
GRIA3,ENSG00000125675
RAB39B,ENSG00000155961
PHLPP1,ENSG00000081913
IER5L,ENSG00000188483
SMARCA2,ENSG00000080503
ASH1L-AS1,ENSG00000235919
ZNF263,ENSG00000006194
NIPAL4,ENSG00000172548
TMPO,ENSG00000120802
CD68,ENSG00000129226
KITLG,ENSG00000049130
KIF15,ENSG00000163808
PLK2,ENSG00000145632
TSPAN14,ENSG00000108219
TMEM107,ENSG00000179029
COL20A1,ENSG00000101203
AKAP6,ENSG00000151320
NUMA1,ENSG00000137497
ARRDC4,ENSG00000140450
BCHE,ENSG00000114200
ZNF281,ENSG00000162702
TLCD2,ENSG00000185561
THUMPD3-AS1,ENSG00000206573
HIP1,ENSG00000127946
ELAVL4,ENSG00000162374
CD27,ENSG00000139193
DISP3,ENSG00000204624
ZNF680,ENSG00000173041
CYTH4,ENSG00000100055
ABCB1,ENSG00000085563
MIR22HG,ENSG00000186594
PIM2,ENSG00000102096
